timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1010832,2,1035364,2,1000560,2
60,1081716,2,1121032,2,1049004,2
120,1219920,2,1248280,2,1144440,2
180,1323936,2,1339492,2,1249512,2
240,1375944,2,1388464,2,1312344,2
300,1465176,2,1507800,2,1417416,2
360,1537908,2,1496052,2,1509816,2
420,1493952,2,1535652,2,1559184,2
480,1543716,2,1567992,2,1654224,2
540,1553088,2,1655508,2,1721016,2
600,1595772,2,1555980,2,1859508,2
660,1544292,2,1586868,2,1890976,2
720,1421004,2,1504104,2,1956684,2
780,1327548,2,1302540,2,1971108,2
840,1327548,2,1302540,2,1971108,2
900,1210596,2,1184232,2,1941224,2
960,1194888,2,1215384,2,1967056,2
1020,1210992,2,1191888,2,1965152,2
1080,1161492,2,1215252,2,1964772,2
1140,1257192,2,1184100,2,1950784,2
1200,1249404,2,1305804,2,1970048,2
1260,1212708,2,1242840,2,1963912,2
1320,1155684,2,1183440,2,1957880,2
1380,1155684,2,1183440,2,1957880,2
1440,1204208,2,1231884,2,1964644,2
1500,1168172,2,1219080,2,1954212,2
1560,1201040,2,1180668,2,1958844,2
1620,1201040,2,1180668,2,1958844,2
1680,1180580,2,1219080,2,1965240,2
1740,1225196,2,1241992,2,1965100,2
1800,1226912,2,1277104,2,1962044,2
