timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,978964,2,993284,2,994848,2,993636,2
60,1280452,2,1055852,2,1110216,2,1152564,2
120,1289120,1,1112084,1,1168048,3,1108436,3
180,1360256,1,1196416,2,1155640,2,1230140,3
240,1315508,1,1205208,1,1182172,3,1159124,3
300,1334384,1,1198128,1,1194052,3,1184600,3
360,1357748,1,1191924,1,1183756,2,1226708,4
420,1346528,1,1216080,2,1137556,2,1174700,3
480,1354052,1,1201956,1,1166332,3,1157540,3
540,1339268,1,1223472,1,1208080,3,1221956,3
600,1345340,1,1225716,1,1189732,3,1184336,3
660,1341248,1,1209216,1,1192392,3,1234628,3
720,1362500,1,1205520,1,1197936,3,1172424,3
780,1334780,1,1204596,1,1244664,3,1209252,3
