timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,991916,2,1003628,2,1020532,2,1015316,2
60,1114016,2,1184468,2,1030888,2,1112336,2
120,1053956,1,1337780,1,1082764,3,1141260,3
180,1320388,1,1154828,1,1194700,1,1324344,5
240,1132816,1,1204388,2,1225456,3,1388892,2
300,1451348,1,1263788,1,1158400,1,1168188,5
360,1442724,1,1053248,1,1131076,1,1464132,5
420,1459224,1,1265768,1,1215820,3,1230624,3
480,1417908,1,1275536,1,1330132,3,1246596,3
540,1439292,1,1268804,1,1259248,3,1215180,3
600,1397448,1,1318700,1,1234300,2,1204884,4
660,1425168,1,1296568,1,1294428,3,1243692,3
720,1444440,1,1267000,1,1287432,3,1308372,3
780,1452492,1,1259608,1,1283604,3,1262568,3
840,1449868,1,1277164,1,1255620,3,1229304,3
