timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1014920,2,1042264,2,998848,2
60,1105340,2,1112224,2,1050328,2
120,1148768,2,1254268,2,1213348,2
180,1232984,2,1325464,2,1276840,2
240,1351784,2,1421692,2,1382572,2
300,1436792,2,1513432,2,1436824,2
360,1535660,2,1548940,2,1479592,2
420,1576052,2,1574680,2,1599844,2
480,1706308,2,1586824,2,1582420,2
540,1627208,1,1656784,2,1681552,3
600,1788256,1,1630780,2,1694224,3
660,1831652,1,1688596,3,1637464,2
720,1855672,1,1705624,2,1762468,3
780,1910744,1,1617212,2,1763128,3
840,1910744,1,1617212,2,1763128,3
900,1967616,1,1290248,2,1420544,3
960,1936928,1,1083668,1,1380020,4
1020,1936928,1,1083668,2,1380020,3
1080,1970552,1,1288004,2,1454432,3
1140,1970552,1,1288004,2,1454432,3
1200,1913888,1,1079072,1,1345268,4
1260,1913888,1,1079072,2,1345268,3
1320,1962428,1,1256348,2,1245212,3
