timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,890808,2,889776,2,887792,2
60,1458540,2,1465224,2,1493148,2
120,1515392,2,1469052,2,1445760,2
180,1441076,1,1461924,2,1513816,3
240,1443452,1,1469052,2,1535228,3
300,1494668,2,1448988,2,1447712,2
360,1486572,1,1465424,3,1470596,2
420,1458720,1,1528804,3,1485264,2
480,1446840,1,1550408,3,1475628,2
540,1482160,1,1535756,3,1484208,2
600,1474240,1,1576256,3,1476684,2
660,1459588,1,1467752,2,1504816,3
720,1472128,1,1448216,2,1514188,3
780,1514236,2,1457060,2,1461124,2
840,1532080,2,1447028,2,1466800,2
900,1467048,1,1475804,3,1477624,2
960,1475864,1,1417328,2,1513000,3
1020,1466888,1,1451120,2,1542528,3
