timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1034656,132179045,5,1026560,120126535,5,1047812,118220156,5,969076,118714918
60,5,1036372,36798350,5,1027880,35923166,5,1050848,36335472,5,971584,36100288
120,5,1064884,66726771,5,1042796,46024139,5,1081868,72854063,5,999832,63057798
180,5,1148968,149249187,5,1090844,80786618,5,1165556,176929298,5,1072960,185511090
240,5,1197544,212107519,5,1128332,92787667,5,1230632,305234321,5,1128796,285676126
300,5,1243480,290968885,5,1162520,122263939,5,1273136,352193652,5,1185688,427194555
360,5,1288096,378772182,5,1205816,138309947,5,1313132,468269166,5,1221724,532521712
420,5,1331656,449495336,5,1220336,161978785,5,1337816,539554120,5,1257496,612041190
480,5,1355680,518540542,5,1246208,218993905,5,1389692,593046109,5,1315840,736068368
540,5,1384720,599175038,5,1270496,234495251,5,1432196,695587275,5,1333396,770831389
600,5,1380232,676982842,5,1276304,254478541,5,1449488,796653864,5,1356892,929103375
660,5,1437124,717205200,5,1304420,313883317,5,1494236,902662677,5,1358212,959861090
720,5,1467748,848571840,5,1296632,271847011,5,1481564,945425947,5,1390024,1072483350
780,5,1494412,928724956,5,1328840,298849729,5,1487108,953573839,5,1438336,1183970682
840,5,1485040,957322462,5,1359860,383499471,5,1547960,1071022592,5,1449688,1220254697
