timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,986072,2,1022932,2,989216,2
60,1004948,2,1037980,2,1029740,2
120,1136552,3,1071148,1,1087160,2
180,1174040,2,1169620,2,1135472,2
240,1054712,1,1246048,2,1327796,3
300,1144076,2,1170280,1,1416056,3
360,1205192,2,1227436,2,1447340,2
420,1467212,3,1288420,2,1245248,1
480,1403588,2,1458436,3,1288544,1
540,1095104,1,1448404,3,1626860,2
600,1118996,2,1369732,2,1628312,2
660,1537964,3,1498828,2,1415396,1
720,1502720,2,1530112,2,1452488,2
780,1100912,1,1392040,2,1836740,3
840,1128500,2,1391644,2,1862120,2
900,1601588,3,1539748,2,1524728,1
960,1537964,2,1531828,3,1580432,1
1020,1901864,3,1408276,3,990456,0
1080,1797080,2,1548724,3,1288512,1
1140,1085204,1,1474456,3,1909356,2
1200,1567796,2,1635944,3,1683240,1
1260,1610828,3,1599380,2,1801512,1
1320,1957132,4,1489424,2,963576,0
1380,1944660,3,1208924,2,987072,1
1440,1961420,2,1363232,2,1286976,2
1500,1961420,1,1363232,3,1286976,2
1560,951516,0,0,3,1151280,3
1560,952440,0,1947928,3,1184016,3
1620,950460,0,1954892,2,1270212,4
1680,1050780,1,1955536,1,1262292,4
